id,text,label
100037,맛있어요 어버이날에 부모님께 가져다 드릴려고 사고 저희가 먼저 맛보려고 샀어요 생각보다 너무 맛있네요 ㅎㅎ 집에서도 오리백숙 편하게 먹을수 있어서 너무 좋습니다! 다음에 또 주문해먹을거같아요 국물이 참 맛있어요 ㅎㅎ,1
100037,이 맛있어요. 나는 어머니의 날에 부모님에게 가져 오기 위해 그것을 샀다. 우리는 그것을 먼저 맛보기 위해 그것을 샀다. 다음에 다시 주문할 것 같아요.,1
100037,맛있어요. 나는 어머니의 날에 부모님에게 가져 오기 위해 그것을 샀다. 우리는 그것을 먼저 맛보기 위해 그것을 샀다. 다음에 다시 주문하고 싶습니다.,1
100037,이 맛있어요. 나는 어머니의 날에 부모님에게 가져 가기 위해 그것을 샀다. 우리는 그것을 먼저 시도하기 위해 그것을 구입합니다. 다음에 다시 주문할 것 같아요.,1
100190,저렴하게 구매했습니다^^ 포장도 신경써 주셔서 감사합니다~많이 파세요^^,1
100190,저렴한 가격으로 구입했습니다 ^^ 포장 주셔서 감사합니다.,1
100190,나는 그것을 싸게 샀다 ^^ 포장에 감사드립니다.,1
100190,저렴한 비용으로 구입했습니다 ^^ 포장 감사합니다.,1
100190,저렴하게 샀어요 ^^ 포장 감사합니다.,1
100190,내가 싼 포장에 감사드립니다.,1
100241,좋아요 시간도 잘가고 처음시작하기도 무리없이 무난한거 같아요 초보자들도 강추하는 작품입니다 도전~,1
100241,"나는 그것을 좋아한다, 나는 그것이 처음으로 좋다고 생각한다.",1
100241,나는 그것을 좋아하고 처음으로 시작하는 것이 좋다고 생각합니다.,1
100258,무언가를 이렇게 집중해서 먹는건 오랜만에 보내오 잘먹어요,1
100258,내가 그런 것들에 집중 한 지 오래되었습니다.,1
100258,내가 이것에 집중 한 지 오래되었습니다.,1
100258,내가 그런 것에 집중 한 지 오래되었습니다.,1
100258,내가 이와 같은 것에 집중 한 지 오래되었습니다.,1
100473,후기보고 본드같은걸로 포장해서 제거할때 기스난다해서 매탈로 샀는데 진짜로 찐득한 본드같은거 붙어있어요..어떻게 제거해야할지...,1
100473,미래에 포장 한 다음 채권과 같은 채권으로 삭제했을 때 사냥을 사용했지만 증기를 사용했습니다.,1
100473,"나중에 모양을 감싸고 링크와 같은 유대로 제거했을 때, 나는 실패로 그것을 샀지 만 실제로 찐되었습니다.",1
100473,"나중에 그것을 감싸고 채권과 같은 유대로 그것을 제거했을 때, 나는 그것을 복부에서 샀지 만 실제로 찐 것입니다.",1
100473,나중에 모양을 감싸고 링크와 같은 링크로 제거했을 때 안락 의자로 구입했지만 실제로 찐되었습니다.,1
1005,기간도일주일이나되어도기다렸는데 한상자는좋은데한상자는블루베리가작고크기가다다르다고하네요 그럴거면최상품으로나누지마셨어야죠 엄마에게드렸는데 조금실망스럽네요,0
1005,나는 일주일을 기다리고 있었지만 상자는 좋다.,0
1005,나는 그 주를 기다리고 있었지만 상자는 좋다.,0
1005,나는 일주일을 기다리고 있었지만 상자는 매우 좋습니다.,0
100695,항상 여기사 주문하고 잘못된 제품에 즉각 대응 대처 해주셔서 너무 좋았어요,1
100695,나는 항상 여기에 주문하고 잘못된 제품에 즉시 응답하기에는 너무 좋았습니다.,1
100695,나는 항상 여기서 주문했고 잘못된 제품에 즉시 응답했습니다.,1
