id,text,label
218,가성비 굿이에요 저는 프레임만 구입했는데 2주만에 왔고요 디자인 깔끔하고요 인터넷 다른상품들과 비교해도 가성비 좋아요 배송해주시는분도 친절했고요 그리고 저상이라 좋더라고요,1
218,인터넷비 굿이에요 저는 만 배송했는데 2주만에 왔고요 디자인 깔끔하고요 가성 다른상품들과 비교해도 가성비 좋아요 구입해주시는분도 친절했고요 그리고 저상이라프레임좋더라고요,1
218,가성비 굿이에요 저는 프레임만 구입했는데 외상 소견 2주만에 왔고요 디자인 깔끔하고요 인터넷 다른상품들과 비교해도 가성비 좋아요 배송해주시는분도 친절했고요 물건 그리고 저상이라 좋더라고요,1
218,가성비 굿이에요 저는 프레임만 구입했는데 2주만에 왔고요 부정 디자인 깔끔하고요 인터넷 빗발 다른상품들과 비교해도 가성비 좋아요 소견 배송해주시는분도 친절했고요 그리고 저상이라 좋더라고요,1
218,가성비 굿이에요 저는 프레임만 했는데 2주만에 디자인 깔끔하고요 들과 비교해도 비 좋아요 배송분도 친절했고요 그리고 저상이라 좋더라고요,1
338,장갑이 짱짱하고 패드도 좋아요. 장갑낀 상태에서 스마트폰 터치도 됩니다.,1
338,장갑이 짱짱하고 패드도 좋아요. 장갑낀 매 상태에서 스마트폰 터치도 됩니다.,1
338,장갑이 짱짱하고 패드도 좋아요. 장갑낀 상태에서 스마트폰 터치 교접 도 됩니다.,1
338,장갑이 짱짱하고 패드도 좋아요. 장갑낀 상태에서 스마트폰 상접도 됩니다.,1
338,장갑이 짱짱하고 패드도 좋아요. 장갑낀 상태에서 스마트폰 접촉도 됩니다.,1
736,만족 대만족 주파수만 맞춰서 연결하면 불루투스 오디오 내장안되어있어도 이렇게 좋습니다 하하하 블랙 색상도 세련되고 이쁘네요,1
736,만족 대만족 주파수만 맞춰서 연결하면 불루투스 오디오 내장안되어있어도 이렇게 좋습니다 하하하 블랙 빛깔도 세련되고 이쁘네요,1
736,만족 대만족 만 맞춰서 연결하면 불루투스 오디오 내장안되어있어도 이렇게 좋습니다 하하하 블랙 색상도 세련되고,1
736,만족 대만족 주파수만 맞춰서 연결하면 불루투스 오디오 내장안되어있어도 이렇게 좋습니다 하 블랙 색상도 세련되고 이쁘네요,1
736,만족 대만족 주파수 맞춰서 연결하면 불루투스 오디오 내장안되어있어도 이렇게 좋습니다 하하하 블랙 색상도 세련되고 이쁘네요,1
955,고기가 맛있다고 하신분들...믿고 구매했는데... 저울달아보니 그램수도 안맞고 고기도 질기고.. 고기팩안에들어있는방부제까지포함 600g인가요ㅇ???,0
955,어육가 맛있다고 하신분들...믿고 구매했는데... 저울달아보니 그램수도 안맞고 어육도 질기고.. 고기팩안에들어있는방부제까지포함 600g인가요ㅇ???,0
955,고기가 맛있다고 하신분들...믿고 구매했는데... 저울년아보니 그램수도 안맞고 고기도 질기고.. 고기팩안에들어있는방부제까지포함 600g인가요ㅇ???,0
955,고기가 맛있다고 하신분들...믿고 구매했는데... 저울달아보니 그램수도 가운데맞고 고기도 질기고.. 고기팩안에들어있는방부제까지포함 600g인가요ㅇ???,0
955,고기가 맛있다고 하신분들...믿고 구매했는데... 저울달아보니 포용 그램수도 고초 안맞고 고기도 질기고.. 고기팩안에들어있는방부제까지포함 안쪽 600g인가요ㅇ???,0
1005,기간도일주일이나되어도기다렸는데 한상자는좋은데한상자는블루베리가작고크기가다다르다고하네요 그럴거면최상품으로나누지마셨어야죠 엄마에게드렸는데 조금실망스럽네요,0
1005,기간도일주일이나되어도기다렸는데 한궤짝는좋은데한궤짝는블루베리가작고크기가다다르다고하네요 그럴거면최상품으로나누지마셨어야죠 엄마에게드렸는데 조금실망스럽네요,0
1005,기간도일주일이나되어도기다렸는데 한상자는좋은데한상자는가작고크기가다다르다고하네요 그럴거면최상품으로나누지마셨어야죠 엄마에게드렸는데 조금실망스럽네요,0
1005,기간도일주일이나되어도기다렸는데 한상자는좋은데한 연기 상자는블루베리가작고크기가다다르다고하네요 그럴거면 정한 최상품으로나누지마셨어야죠 엄마 등급 에게드렸는데 조금실망스럽네요,0
1005,기간도일주일되어도 한상자는는블루베리가작고크기가다다르다고하네요 그럴거면최으로나누지마셨어야죠 엄마에게드렸는데 조금실망스럽네요,0
1047,재구매 배송이 빨라서 항상 마지막롤 사용할때 주문합니다~~^^,1
1047,재구매 배송이 빨라서 항상 마지막롤 사용할합니다 주문때~~^^,1
1047,재구매 배송이 빨라서 종말 항상 마지막롤 사용할때 주문합니다~~^^,1
1047,재구매 배송이 빨라서 항상 마지막롤 사용할때 주문 퍼센트 합니다~~^^,1
1047,재구매 배송이 빨라서 항상 마지막롤 청구 사용할때 주문합니다~~^^,1
1074,"배송은빨랐으나 옷걸이 하나하나 다 검은 이물질이 묻어있어서 물티슈로 하나하나 다 닦아서 꺼냈습니다. 먼지가아니라 한번들면 손에 묻고 , 처음에 모르고 화이트 새 행거에 걸었을때 검은색으로 물었었어요",0
