guid,title,label
ynat-v1_train_00401,홍남기 부총리 출입기자단과 간담회,6
ynat-v1_train_00401,홍남기 부총리 출입기자단과 간담회,6
ynat-v1_train_00401,홍남기 부총리 출입기자단과 간담집단,6
ynat-v1_train_00492,대구 예비후보 의정보고회 금지 가처분 신청,6
ynat-v1_train_00492,대구 예비후보 의정보고학회 금지 가처분 신청,6
ynat-v1_train_00492,대구 예비후보 의정보고회 금지 가처분 신청,6
ynat-v1_train_00804,박상기 법무부 장관 후보자 인사청문회 13일 실시,6
ynat-v1_train_00804,박상기 법무부 후보자 인사청문회장관13일 실시,6
ynat-v1_train_00804,박상기 법무부 장관 후보자 인사청문회 13일 실시,6
ynat-v1_train_00903,새누리당 20대 국회 첫 정책워크숍 10일 개최,6
ynat-v1_train_00903,새누리당 20대 국회 첫 정책워크숍 대회 10일 개최,6
ynat-v1_train_00903,새누리당 20대 단체 첫 정책워크숍 10일 개최,6
ynat-v1_train_01656,유니콘기업 육성 창업지원 인프라 선행돼야,2
ynat-v1_train_01656,유니콘기업 육성 창업 인프라 선행돼야,2
ynat-v1_train_01656,유니콘기업 육성 성원 창업지원 인프라 선행돼야,2
ynat-v1_train_01787,트럼프 북미정상회담 예정대로 싱가포르에서 열릴 수도,4
ynat-v1_train_01787,트럼프 북미정상회담 스케줄대로 싱가포르에서 열릴 수도,4
ynat-v1_train_01787,싱가포르 북미정상회담 예정대로 트럼프에서 열릴 수도,4
ynat-v1_train_01906,입장 발표하는 안철수,6
ynat-v1_train_01906,입장발표 하는 안철수,6
ynat-v1_train_01906,입장 발표하는 경지 안철수,6
ynat-v1_train_01909,난감한 클럽 합동단속 점검팀,2
ynat-v1_train_01909,난감한 클럽 합동단속 점검팀,2
ynat-v1_train_01909,난감한 합동단속클럽점검팀,2
ynat-v1_train_01917,이주의 뉴스키워드 다스 법인카드 개헌안,2
ynat-v1_train_01917,이주의 뉴스키워드 줄기 다스 법인카드 개헌안,2
ynat-v1_train_01917,이주의 보도키워드 다스 법인카드 개헌안,2
ynat-v1_train_01956,정운천 전북 제 3 금융중심지 신속 추진,1
ynat-v1_train_01956,정운천 전북 제 3 금융중심지 신속 추진,1
ynat-v1_train_01956,정운천 전북 3제금융중심지 신속 추진,1
ynat-v1_train_01967,발레리나 김주원 세종문화회관서 탱고발레 공연,3
ynat-v1_train_01967,발레리나 김주원 세종문화회관 탱고 공연,3
ynat-v1_train_01967,발레리나 김주원 세종문화회관서 발레탱고공연,3
ynat-v1_train_02000,거래소 고속도로 주유소 석유시장 참여 MOU,2
ynat-v1_train_02000,고속도로 주유소거래소석유시장 참여 MOU,2
ynat-v1_train_02000,거래소 고속도로 주유소 석유시장 참여 MOU,2
ynat-v1_train_02046,용산공원에 묻다 토론회,2
ynat-v1_train_02046,용산직공에 묻다 토론회,2
ynat-v1_train_02046,용산공원 묻다에토론회,2
ynat-v1_train_02305,프로배구 KB손해보험 권순찬 감독과 재계약,5
ynat-v1_train_02305,프로배구 KB손해보험 권순찬 감독과 지도 재계약,5
ynat-v1_train_02305,프로배구 KB손해보험 권찬 감독과 재계약,5
ynat-v1_train_02507,거리 예술의 향연 고양 호수예술축제 49만명 다녀가,3
ynat-v1_train_02507,거리 의 향연 고양 호수예술축제 49만명 다녀가,3
ynat-v1_train_02507,거리 예술의 향연 고양 천수 호수예술축제 49만명 다녀가,3
ynat-v1_train_02530,대림산업 2조2천억원 규모 이란 정유시설 공사계약 해지,1
ynat-v1_train_02530,대림산업 2조2천억원 규모 이란 정유시설 공사계약 해지,1
